expedition,accession,family,genus,species_epithet,locality,date,latitude,longitude,elevation,county,location,locality_habitat,plant_description,RNA,historical,Photo notes,HUH,NYBG,KIB,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE1,Orobanchaceae,Pedicularis,rex,1,7/7/2018,"27°21'35"" N","99°55'01"" E",2840,Shangri-La,On highway from Shangri-la to Lijiang.,Disturbed roadside.,Burnt specimen,,,,1,1,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE2,Orobanchaceae,Pedicularis,densispica,1,7/7/2018,"27°21'35"" N","99°55'01"" E",2840,Shangri-La,On highway from Shangri-la to Lijiang.,Disturbed roadside.,Burnt specimen,,,,1,1,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE3,Orobanchaceae,Pedicularis,oxycarpa,1,7/7/2018,"27°21'35"" N","99°55'01"" E",2840,Shangri-La,On highway from Shangri-la to Lijiang.,Disturbed roadside.,Burnt specimen,,,,1,1,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE4,Orobanchaceae,Pedicularis,longiflora,2,7/8/2018,"27°57'33.1"" N","99°42'25.8"" E",3404,Shangri-La,On highway from Shangri-la to Lijiang.,"Wet meadow w/ Primula, Juniperus.",Burnt specimen,,,,1,1,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE5,Orobanchaceae,Pedicularis,rhinanthoides,2,7/8/2018,"27°57'33.1"" N","99°42'25.8"" E",3404,Shangri-La,On highway from Shangri-la to Lijiang.,"Wet meadow w/ Primula, Juniperus.",Burnt specimen; collected pollen; same sample is DE5-P1,,,,1,1,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE6,Orobanchaceae,Pedicularis,siphonantha,2,7/8/2018,"27°57'33.1"" N","99°42'25.8"" E",3404,Shangri-La,On highway from Shangri-la to Lijiang.,"Wet meadow w/ Primula, Juniperus.",Burnt specimen,,,,1,1,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE7,Orobanchaceae,Pedicularis,densispica,2,7/8/2018,"27°57'33.1"" N","99°42'25.8"" E",3404,Shangri-La,On highway from Shangri-la to Lijiang.,"Wet meadow w/ Primula, Juniperus.",Burnt specimen; specimen discarded,,,,0,0,0,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE8,Fabaceae,Tibetia,sp.,2,7/8/2018,"27°57'33.1"" N","99°42'25.8"" E",3404,Shangri-La,On highway from Shangri-la to Lijiang.,"Wet meadow w/ Primula, Juniperus.",Burnt specimen; Dark purple (DE8-2) and light purple (DE8-1),,,,1,1,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE9,Fagaceae,Quercus,sp.,2,7/8/2018,"27°57'33.1"" N","99°42'25.8"" E",3404,Shangri-La,On highway from Shangri-la to Lijiang.,"Wet meadow w/ Primula, Juniperus.",Burnt specimen; DNA and pollen collected (DE9),,,,1,1,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE10,Adoxaceae,Viburnum,sp.,3,7/8/2018,"28°16'51.4"" N","99°45'37.1"" E",3281,Shangri-La,On highway from Shangri-la to Lijiang.,Mixed hardwood and shrubs near streams.,Burnt specimen,,,,1,1,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE11,Fabaceae,Oxytropis?,sp.,4,7/8/2018,"28°21'17.7"" N","99°46'14.2"" E",3530,Shangri-La,On highway from Shangri-la to Lijiang. Near gravel pit.,Disturbed roadside.,Burnt specimen,,,,1,1,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE12,Orobanchaceae,Pedicularis,rhinanthoides,5,7/8/2018,"28°34'20.1"" N","99°49'25.1"" E",4124,Shangri-La,On highway from Shangri-la to Lijiang.,Shale scree slope w/ conifers and a stream.,Burnt specimen,,,~3:20 - 4:00,1,1,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE13,Orobanchaceae,Pedicularis,confertiflora,5,7/8/2018,"28°34'20.1"" N","99°49'25.1"" E",4124,Shangri-La,On highway from Shangri-la to Lijiang.,Shale scree slope w/ conifers and a stream.,Burnt specimen,,,,1,0,0,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE14,Orobanchaceae,Pedicularis,kansuensis,5,7/8/2018,"28°34'20.1"" N","99°49'25.1"" E",4124,Shangri-La,On highway from Shangri-la to Lijiang.,Shale scree slope w/ conifers and a stream.,Burnt specimen; light purple flowers.,,,,1,1,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE15,Orobanchaceae,Pedicularis,superba,5,7/8/2018,"28°34'20.1"" N","99°49'25.1"" E",4124,Shangri-La,On highway from Shangri-la to Lijiang.,Shale scree slope w/ conifers and a stream.,"Burnt specimen; many old fruiting bodies, very few flowers plants.",,,,1,1,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE16,Papaveraceae,Corydalis,sp.,5,7/8/2018,"28°34'20.1"" N","99°49'25.1"" E",4124,Shangri-La,On highway from Shangri-la to Lijiang.,Shale scree slope w/ conifers and a stream.,"Burnt specimen; white corolla base, violet petal edges.",,,,1,1,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE17,Orobanchaceae,Pedicularis,Pedicularis rex,5,7/8/2018,"28°34'20.1"" N","99°49'25.1"" E",4124,Shangri-La,On highway from Shangri-la to Lijiang.,Shale scree slope w/ conifers and a stream.,Burnt specimen,,,,1,1,1,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE18,Fabaceae,Tibetia,sp.,5,7/8/2018,"28°34'20.1"" N","99°49'25.1"" E",4124,Shangri-La,On highway from Shangri-la to Lijiang.,Shale scree slope w/ conifers and a stream.,Burnt specimen; Very light yellow flowers,,,,1,1,0,,,,,,,,,,,,
"2018 Eaton, McKenzie, Meek, Zuo",DE19,Orobanchaceae,Pedicularis,dolichoglossa,5,7/8/2018,"28°34'20.1"" N","99°49'25.1"" E",4124,Shangri-La,On highway from Shangri-la to Lijiang.,Shale scree slope w/ conifers and a stream.,Burnt specimen; Yellow flowers with red maculation.,,,,1,0,0,,,,,,,,,,,,
