,cid,latitude,longitude,shortname,sid,year
0,DE76,30.01097222222222,100.31616666666666,Pedicularis-anas,18.0,2018
1,DE81,30.158749999999998,100.56608333333332,Pedicularis-anas,20.0,2018
2,DE93,30.028138888888886,100.80138888888888,Pedicularis-anas,23.0,2018
3,DE110,30.058055555555555,101.34166666666667,Pedicularis-anas,26.0,2018
4,DE168,30.74063888888889,101.33436111111111,Pedicularis-anas / cheilanthifolia,36.0,2018
5,DE235,31.596555555555554,100.36897222222221,Pedicularis-anas,53.0,2018
6,DE248,31.62736111111111,100.23436111111111,Pedicularis-anas,55.0,2018
7,DE264,31.58661111111111,100.14166666666668,Pedicularis-anas,57.0,2018
8,DE277,31.715305555555556,99.61627777777777,Pedicularis-anas,59.0,2018
9,DE291,32.061277777777775,99.00944444444444,Pedicularis-anas,62.0,2018
10,DE292,32.066861111111116,99.00422222222223,Pedicularis-anas,63.0,2018
11,DE357,30.980833333333333,98.95905555555557,Pedicularis-anas,72.0,2018
12,DE389,30.297027777777778,99.671,Pedicularis-anas,80.0,2018
13,DE409,30.223249999999997,100.26427777777778,Pedicularis-anas,82.0,2018
14,DE575,31.76152777777778,100.75722222222223,Pedicularis-anas,118.0,2019
15,DE586,31.72472222222222,100.74266666666666,Pedicularis-anas,121.0,2019
16,DE621,32.13869444444445,101.03999999999999,Pedicularis-anas,127.0,2019
17,DE636,32.32527777777778,101.08063888888888,Pedicularis-anas,130.0,2019
18,DE640,32.337500000000006,101.42083333333333,Pedicularis-anas,131.0,2019
19,DE665,32.32241666666667,102.45541666666666,Pedicularis-anas,135.0,2019
20,DE675,32.535555555555554,102.3325,Pedicularis-anas,136.0,2019
21,DE681,32.711111111111116,102.11736111111111,Pedicularis-anas,137.0,2019
22,DE690,32.908055555555556,101.89055555555557,Pedicularis-anas,138.0,2019
23,DE699,33.31375,101.28361111111111,Pedicularis-anas,139.0,2019
24,DE708,33.54694444444444,101.53597222222223,Pedicularis-anas,140.0,2019
25,DE716,33.93944444444444,102.03019444444445,Pedicularis-anas,141.0,2019
26,DE722,34.070750000000004,102.16861111111112,Pedicularis-anas,142.0,2019
27,DE730,34.22083333333334,102.25527777777778,Pedicularis-anas,143.0,2019
28,DE752,33.1075,102.63180555555554,Pedicularis-anas,150.0,2019
29,DE765,31.852777777777778,102.67269444444445,Pedicularis-anas,154.0,2019
0,27904,31.70611111111111,102.31388888888888,Pedicularis-anas,790,1997
1,27966,31.85027777777778,102.67027777777778,Pedicularis-anas,852,1997
2,28071,29.385833333333334,100.14944444444446,Pedicularis-anas,960,1998
