,cid,latitude,longitude,shortname,sid,year
0,DE21,28.58586111111111,99.83722222222222,Pedicularis-cyathophylla,6.0,2018
1,DE107,30.063972222222223,101.31663888888889,Pedicularis-cyathophylla,25.0,2018
2,DE172,30.787694444444448,101.30772222222222,Pedicularis-cyathophylla,37.0,2018
3,DE197,31.6575,100.70130555555556,Pedicularis-cyathophylla,46.0,2018
4,DE204,31.6575,100.70130555555556,Pedicularis-cyathophylla,46.0,2018
5,DE211,31.787916666666668,100.74775,Pedicularis-cyathophylla,48.0,2018
6,DE213,31.83186111111111,100.73927777777777,Pedicularis-cyathophylla,49.0,2018
7,DE344,31.044305555555557,98.90880555555556,Pedicularis-cyathophylla,71.0,2018
8,DE354,30.980833333333333,98.95905555555557,Pedicularis-cyathophylla,72.0,2018
9,DE413,29.820833333333333,100.34588888888888,Pedicularis-cyathophylla,83.0,2018
10,DE421,29.141805555555557,100.15661111111112,Pedicularis-cyathophylla,84.0,2018
11,DE449,28.955555555555556,99.75330555555556,Pedicularis-cyathophylla,92.0,2018
12,DE656,31.695972222222224,100.705,Pedicularis-cyathophylla,133.0,2019
13,DE778,31.863750000000003,102.71583333333334,Pedicularis-cyathophylla,155.0,2019
0,28478,29.12388888888889,99.99666666666667,Pedicularis-cyathophylla,1369,1998
