,cid,latitude,longitude,shortname,sid,year
0,DE164,30.71183333333333,101.36433333333333,Pedicularis-decorissima,35.0,2018
1,DE202,31.6575,100.70130555555556,Pedicularis-decorissima,46.0,2018
2,DE212,31.787916666666668,100.74775,Pedicularis-decorissima,48.0,2018
3,DE215,31.83186111111111,100.73927777777777,Pedicularis-decorissima,49.0,2018
4,DE572,31.76152777777778,100.75722222222223,Pedicularis-decorissima,118.0,2019
5,DE583,31.724999999999998,100.74444444444444,Pedicularis-decorissima,120.0,2019
6,DE611,32.13869444444445,101.03999999999999,Pedicularis-decorissima,125.0,2019
7,DE655,31.695972222222224,100.705,Pedicularis-decorissima,133.0,2019
0,27825,31.69611111111111,100.70527777777778,Pedicularis-decorissima,711,1997
1,27832,31.66,100.71277777777777,Pedicularis-decorissima,718,1997
