,cid,latitude,longitude,shortname,sid,year
0,DE2,27.359722222222224,99.91694444444445,Pedicularis-densispica,1.0,2018
1,DE7,27.959194444444442,99.70716666666667,Pedicularis-densispica,2.0,2018
2,DE79,30.158749999999998,100.56608333333332,Pedicularis-densispica,20.0,2018
3,DE129,30.41916666666667,101.54805555555555,Pedicularis-densispica,31.0,2018
4,DE145,30.57702777777778,101.41797222222223,Pedicularis-densispica,33.0,2018
5,DE201,31.6575,100.70130555555556,Pedicularis-densispica,46.0,2018
6,DE249,31.62736111111111,100.23436111111111,Pedicularis-densispica,55.0,2018
7,DE260,31.58661111111111,100.14166666666668,Pedicularis-densispica,57.0,2018
8,DE273,31.715305555555556,99.61627777777777,Pedicularis-densispica,59.0,2018
9,DE367,30.720027777777776,99.09127777777778,Pedicularis-densispica,74.0,2018
10,DE384,30.28488888888889,99.39930555555556,Pedicularis-densispica,79.0,2018
11,DE412,29.820833333333333,100.34588888888888,Pedicularis-densispica,83.0,2018
12,DE426,29.141805555555557,100.15661111111112,Pedicularis-densispica,84.0,2018
13,DE435,28.74638888888889,100.26916666666666,Pedicularis-densispica,86.0,2018
14,DE442,29.142611111111112,99.92980555555556,Pedicularis-densispica,89.0,2018
15,DE458,29.073833333333333,99.67630555555556,Pedicularis-densispica,95.0,2018
16,DE466,27.80763888888889,99.76297222222222,Pedicularis-densispica,96.0,2018
17,DE472,27.811805555555555,99.76633333333334,Pedicularis-densispica,97.0,2018
18,DE482,28.147583333333333,101.16333333333334,Pedicularis-densispica,100.0,2019
19,DE484,28.32161111111111,101.16708333333334,Pedicularis-densispica,101.0,2019
20,DE552,30.288333333333334,101.53158333333333,Pedicularis-densispica,116.0,2019
21,DE554,30.64311111111111,101.4041388888889,Pedicularis-densispica,34.0,2019
22,DE588,31.72472222222222,100.74266666666666,Pedicularis-densispica,121.0,2019
0,28415,29.141111111111112,99.92833333333334,Pedicularis-densispica,1306,1998
