,cid,latitude,longitude,shortname,sid,year
0,DE34,28.650138888888886,99.83366666666666,Pedicularis-ingens,9.0,2018
1,DE106,30.063972222222223,101.31663888888889,Pedicularis-ingens,25.0,2018
2,DE198,31.6575,100.70130555555556,Pedicularis-ingens,46.0,2018
3,DE216,31.83186111111111,100.73927777777777,Pedicularis-ingens,49.0,2018
4,DE236,31.596555555555554,100.36897222222221,Pedicularis-ingens,53.0,2018
5,DE270,31.715305555555556,99.61627777777777,Pedicularis-ingens,59.0,2018
6,DE351,31.044305555555557,98.90880555555556,Pedicularis-ingens,71.0,2018
7,DE364,30.968249999999998,98.96863888888889,Pedicularis-ingens,73.0,2018
8,DE397,30.227277777777775,100.24769444444445,Pedicularis-ingens,81.0,2018
9,DE447,28.955555555555556,99.75330555555556,Pedicularis-ingens,92.0,2018
10,DE574,31.76152777777778,100.75722222222223,Pedicularis-ingens,118.0,2019
11,DE587,31.72472222222222,100.74266666666666,Pedicularis-ingens,121.0,2019
12,DE631,32.32527777777778,101.08063888888888,Pedicularis-pseudoingens,130.0,2019
13,DE652,31.695972222222224,100.705,Pedicularis-ingens,133.0,2019
0,27823,31.69611111111111,100.70527777777778,Pedicularis-ingens,709,1997
1,27830,31.761666666666667,100.75694444444444,Pedicularis-ingens,716,1997
