,cid,latitude,longitude,shortname,sid,year
0,DE14,28.57225,99.82363888888888,Pedicularis-kansuensis,5.0,2018
1,DE30,28.61722222222222,99.83083333333333,Pedicularis-kansuensis,8.0,2018
2,DE33,28.650138888888886,99.83366666666666,Pedicularis-kansuensis,9.0,2018
3,DE52,29.14472222222222,100.03477777777778,Pedicularis-kansuensis,14.0,2018
4,DE135,30.46875,101.50977777777777,Pedicularis-kansuensis,32.0,2018
5,DE136,30.57702777777778,101.41797222222223,Pedicularis-kansuensis,33.0,2018
6,DE162,30.71183333333333,101.36433333333333,Pedicularis-kansuensis,35.0,2018
7,DE163,30.71183333333333,101.36433333333333,Pedicularis-kansuensis,35.0,2018
8,DE184,30.826777777777778,101.28227777777778,Pedicularis-kansuensis,38.0,2018
9,DE191,31.392805555555555,100.68261111111111,Pedicularis-kansuensis,43.0,2018
10,DE194,31.57472222222222,100.72094444444444,Pedicularis-kansuensis,44.0,2018
11,DE199,31.6575,100.70130555555556,Pedicularis-kansuensis,46.0,2018
12,DE209,31.787916666666668,100.74775,Pedicularis-kansuensis,48.0,2018
13,DE217,31.83186111111111,100.73927777777777,Pedicularis-kansuensis,49.0,2018
14,DE221,31.201027777777778,100.85788888888888,Pedicularis-kansuensis,50.0,2018
15,DE222,31.201027777777778,100.85788888888888,Pedicularis-kansuensis,50.0,2018
16,DE232,31.54313888888889,100.47063888888889,Pedicularis-kansuensis,52.0,2018
17,DE240,31.596555555555554,100.36897222222221,Pedicularis-kansuensis,53.0,2018
18,DE241,31.596555555555554,100.36897222222221,Pedicularis-kansuensis,53.0,2018
19,DE242,31.596555555555554,100.36897222222221,Pedicularis-kansuensis,53.0,2018
20,DE243,31.651888888888887,100.25841666666666,Pedicularis-kansuensis,54.0,2018
21,DE253,31.62736111111111,100.23436111111111,Pedicularis-kansuensis,55.0,2018
22,DE254,31.62736111111111,100.23436111111111,Pedicularis-kansuensis,55.0,2018
23,DE255,31.62736111111111,100.23436111111111,Pedicularis-kansuensis,55.0,2018
24,DE256,31.62736111111111,100.23436111111111,Pedicularis-kansuensis,55.0,2018
25,DE261,31.58661111111111,100.14166666666668,Pedicularis-kansuensis,57.0,2018
26,DE280,31.715305555555556,99.61627777777777,Pedicularis-kansuensis,59.0,2018
27,DE284,31.911027777777775,99.25786111111111,Pedicularis-kansuensis,60.0,2018
28,DE289,32.061277777777775,99.00944444444444,Pedicularis-kansuensis,62.0,2018
29,DE301,32.009027777777774,99.04827777777777,Pedicularis-kansuensis,64.0,2018
30,DE309,31.88711111111111,99.03377777777777,Pedicularis-kansuensis,65.0,2018
31,DE310,31.88711111111111,99.03377777777777,Pedicularis-kansuensis,65.0,2018
