,cid,latitude,longitude,shortname,sid,year
0,DE27,28.61722222222222,99.83083333333333,Pedicularis-lachnoglossa,8.0,2018
1,DE35,28.650138888888886,99.83366666666666,Pedicularis-lachnoglossa,9.0,2018
2,DE40,29.141111111111112,99.92833333333334,Pedicularis-lachnoglossa,11.0,2018
3,DE47,29.108500000000003,100.03436111111111,Pedicularis-lachnoglossa,13.0,2018
4,DE65,29.33486111111111,100.09941666666666,Pedicularis-lachnoglossa,16.0,2018
5,DE67,29.385833333333334,100.14944444444446,Pedicularis-lachnoglossa,17.0,2018
6,DE70,30.01097222222222,100.31616666666666,Pedicularis-lachnoglossa,18.0,2018
7,DE82,30.158749999999998,100.56608333333332,Pedicularis-lachnoglossa,20.0,2018
8,DE123,30.278555555555556,101.52355555555556,Pedicularis-lachnoglossa,30.0,2018
9,DE138,30.57702777777778,101.41797222222223,Pedicularis-lachnoglossa,33.0,2018
10,DE147,30.64311111111111,101.4041388888889,Pedicularis-lachnoglossa,34.0,2018
11,DE161,30.71183333333333,101.36433333333333,Pedicularis-lachnoglossa,35.0,2018
12,DE227,31.54313888888889,100.47063888888889,Pedicularis-lachnoglossa,52.0,2018
13,DE271,31.715305555555556,99.61627777777777,Pedicularis-lachnoglossa,59.0,2018
14,DE303,32.009027777777774,99.04827777777777,Pedicularis-lachnoglossa,64.0,2018
15,DE312,31.88711111111111,99.03377777777777,Pedicularis-lachnoglossa,65.0,2018
16,DE322,31.93252777777778,98.83319444444444,Pedicularis-lachnoglossa,66.0,2018
17,DE331,31.46325,98.82013888888889,Pedicularis-lachnoglossa,69.0,2018
18,DE342,31.044305555555557,98.90880555555556,Pedicularis-lachnoglossa,71.0,2018
19,DE359,30.980833333333333,98.95905555555557,Pedicularis-lachnoglossa,72.0,2018
20,DE390,30.297027777777778,99.671,Pedicularis-lachnoglossa,80.0,2018
21,DE415,29.820833333333333,100.34588888888888,Pedicularis-lachnoglossa,83.0,2018
22,DE419,29.141805555555557,100.15661111111112,Pedicularis-lachnoglossa,84.0,2018
23,DE437,28.74638888888889,100.26916666666666,Pedicularis-lachnoglossa,86.0,2018
24,DE443,29.142611111111112,99.92980555555556,Pedicularis-lachnoglossa,89.0,2018
25,DE481,28.147583333333333,101.16333333333334,Pedicularis-lachnoglossa,100.0,2019
26,DE492,28.322222222222223,101.16638888888889,Pedicularis-lachnoglossa,102.0,2019
27,DE520,30.14461111111111,101.85930555555555,Pedicularis-lachnoglossa,110.0,2019
28,DE536,30.040277777777778,101.83777777777777,Pedicularis-lachnoglossa,114.0,2019
29,DE551,30.288333333333334,101.53158333333333,Pedicularis-lachnoglossa,116.0,2019
30,DE556,30.74063888888889,101.33436111111111,Pedicularis-lachnoglossa,36.0,2019
31,DE564,31.201027777777778,100.85788888888888,Pedicularis-lachnoglossa,41.0,2019
32,DE568,30.89688888888889,101.11833333333333,Pedicularis-lachnoglossa,117.0,2019
33,DE580,31.724999999999998,100.74444444444444,Pedicularis-lachnoglossa,120.0,2019
34,DE591,31.42361111111111,100.62083333333332,Pedicularis-lachnoglossa,122.0,2019
35,DE612,32.13869444444445,101.03999999999999,Pedicularis-lachnoglossa,126.0,2019
36,DE650,31.6575,100.70130555555556,Pedicularis-lachnoglossa,46.0,2019
0,27613,30.146944444444443,101.86027777777777,Pedicularis-lachnoglossa,498,1997
1,28066,29.385833333333334,100.14944444444446,Pedicularis-lachnoglossa,955,1998
