,cid,latitude,longitude,shortname,sid,year
0,DE4,27.959194444444442,99.70716666666667,Pedicularis-longiflora,2.0,2018
1,DE54,29.14472222222222,100.03477777777778,Pedicularis-longiflora,14.0,2018
2,DE61,29.33486111111111,100.09941666666666,Pedicularis-longiflora,16.0,2018
3,DE132,30.41916666666667,101.54805555555555,Pedicularis-longiflora,31.0,2018
4,DE141,30.57702777777778,101.41797222222223,Pedicularis-longiflora,33.0,2018
5,DE154,30.64311111111111,101.4041388888889,Pedicularis-longiflora,34.0,2018
6,DE156,30.71183333333333,101.36433333333333,Pedicularis-longiflora,35.0,2018
7,DE165,30.71183333333333,101.36433333333333,Pedicularis-longiflora,35.0,2018
8,DE175,30.826777777777778,101.28227777777778,Pedicularis-longiflora,38.0,2018
9,DE193,31.57472222222222,100.72094444444444,Pedicularis-longiflora,44.0,2018
10,DE228,31.54313888888889,100.47063888888889,Pedicularis-longiflora,52.0,2018
11,DE246,31.651888888888887,100.25841666666666,Pedicularis-longiflora,54.0,2018
12,DE257,31.62611111111111,100.22330555555556,Pedicularis-longiflora,56.0,2018
13,DE265,31.58661111111111,100.14166666666668,Pedicularis-longiflora,57.0,2018
14,DE278,31.715305555555556,99.61627777777777,Pedicularis-longiflora,59.0,2018
15,DE282,31.911027777777775,99.25786111111111,Pedicularis-longiflora,60.0,2018
16,DE298,32.066861111111116,99.00422222222223,Pedicularis-longiflora,63.0,2018
17,DE308,32.009027777777774,99.04827777777777,Pedicularis-longiflora,64.0,2018
18,DE313,31.88711111111111,99.03377777777777,Pedicularis-longiflora,65.0,2018
19,DE356,30.980833333333333,98.95905555555557,Pedicularis-longiflora,72.0,2018
20,DE369,30.597694444444443,99.1883888888889,Pedicularis-longiflora,75.0,2018
21,DE383,30.287361111111114,99.49497222222222,Pedicularis-longiflora,78.0,2018
22,DE395,30.297027777777778,99.671,Pedicularis-longiflora var. tubiformes,80.0,2018
23,DE402,30.227277777777775,100.24769444444445,Pedicularis-longiflora,81.0,2018
24,DE424,29.141805555555557,100.15661111111112,Pedicularis-longiflora,84.0,2018
25,DE436,28.74638888888889,100.26916666666666,Pedicularis-longiflora,86.0,2018
26,DE464,27.80763888888889,99.76297222222222,Pedicularis-longiflora,96.0,2018
27,DE498,28.290277777777778,101.15494444444445,Pedicularis-longiflora,103.0,2019
28,DE531,30.012888888888888,101.86272222222222,Pedicularis-longiflora,113.0,2019
29,DE622,32.13869444444445,101.03999999999999,Pedicularis-longiflora,127.0,2019
30,DE634,32.32527777777778,101.08063888888888,Pedicularis-longiflora,130.0,2019
31,DE644,32.337500000000006,101.42083333333333,Pedicularis-longiflora,131.0,2019
32,DE651,31.6575,100.70130555555556,Pedicularis-longiflora,46.0,2019
33,DE669,32.32241666666667,102.45541666666666,Pedicularis-longiflora,135.0,2019
34,DE685,32.711111111111116,102.11736111111111,Pedicularis-longiflora,137.0,2019
35,DE693,32.908055555555556,101.89055555555557,Pedicularis-longiflora,138.0,2019
36,DE696,33.31375,101.28361111111111,Pedicularis-longiflora,139.0,2019
37,DE717,33.93944444444444,102.03019444444445,Pedicularis-longiflora,141.0,2019
38,DE742,34.113055555555555,102.77888888888889,Pedicularis-longiflora,147.0,2019
0,27508,30.040277777777778,101.83833333333332,Pedicularis-longiflora,391,1997
1,28270,28.74638888888889,100.26916666666666,Pedicularis-longiflora,1161,1998
