,cid,latitude,longitude,shortname,sid,year
0,DE267,31.16936111111111,100.30075,Pedicularis-pseudomelampyriflora,58.0,2018
1,DE326,31.558416666666666,98.67919444444445,Pedicularis-pseudomelampyriflora,68.0,2018
2,DE337,31.12236111111111,98.89002777777779,Pedicularis-pseudomelampyriflora,70.0,2018
3,DE429,28.60027777777778,100.28666666666666,Pedicularis-pseudomelampyriflora,85.0,2018
4,DE444,29.08458333333333,99.89694444444446,Pedicularis-pseudomelampyriflora,90.0,2018
5,DE563,31.201027777777778,100.85788888888888,Pedicularis-pseudomelampyriflora,41.0,2019
6,DE565,31.147027777777776,100.90002777777778,Pedicularis-pseudomelampyriflora,40.0,2019
7,DE593,31.42361111111111,100.62083333333332,Pedicularis-pseudomelampyriflora,122.0,2019
8,DE604,32.13869444444445,101.03999999999999,Pedicularis-pseudomelampyriflora,124.0,2019
9,DE649,31.51527777777778,100.69166666666668,Pedicularis-pseudomelampyriflora,132.0,2019
0,28210,28.60027777777778,100.28666666666666,Pedicularis-pseudomelampyriflora,1101,1998
1,28702,29.103055555555557,99.63194444444444,Pedicularis-pseudomelampyriflora,1595,1998
