,cid,latitude,longitude,shortname,sid,year
0,DE5,27.959194444444442,99.70716666666667,Pedicularis-rhinanthoides,2.0,2018
1,DE12,28.57225,99.82363888888888,Pedicularis-rhinanthoides,5.0,2018
2,DE22,28.58586111111111,99.83722222222222,Pedicularis-rhinanthoides,6.0,2018
3,DE44,29.12388888888889,99.99666666666667,Pedicularis-rhinanthoides,12.0,2018
4,DE50,29.14472222222222,100.03477777777778,Pedicularis-rhinanthoides,14.0,2018
5,DE71,30.01097222222222,100.31616666666666,Pedicularis-rhinanthoides,18.0,2018
6,DE112,30.049972222222223,101.37424999999999,Pedicularis-rhinanthoides,27.0,2018
7,DE114,30.050083333333333,101.38116666666666,Pedicularis-rhinanthoides,28.0,2018
8,DE125,30.41916666666667,101.54805555555555,Pedicularis-rhinanthoides,31.0,2018
9,DE140,30.57702777777778,101.41797222222223,Pedicularis-rhinanthoides,33.0,2018
10,DE153,30.64311111111111,101.4041388888889,Pedicularis-rhinanthoides,34.0,2018
11,DE159,30.71183333333333,101.36433333333333,Pedicularis-rhinanthoides,35.0,2018
12,DE205,31.6575,100.70130555555556,Pedicularis-rhinanthoides,46.0,2018
13,DE207,31.720027777777776,100.71497222222223,Pedicularis-rhinanthoides,47.0,2018
14,DE208,31.787916666666668,100.74775,Pedicularis-rhinanthoides,48.0,2018
15,DE219,31.83186111111111,100.73927777777777,Pedicularis-rhinanthoides,49.0,2018
16,DE245,31.651888888888887,100.25841666666666,Pedicularis-rhinanthoides,54.0,2018
17,DE259,31.62611111111111,100.22330555555556,Pedicularis-rhinanthoides,56.0,2018
18,DE263,31.58661111111111,100.14166666666668,Pedicularis-rhinanthoides,57.0,2018
19,DE272,31.715305555555556,99.61627777777777,Pedicularis-rhinanthoides,59.0,2018
20,DE290,32.061277777777775,99.00944444444444,Pedicularis-rhinanthoides,62.0,2018
21,DE299,32.066861111111116,99.00422222222223,Pedicularis-rhinanthoides,63.0,2018
22,DE348,31.044305555555557,98.90880555555556,Pedicularis-rhinanthoides,71.0,2018
23,DE360,30.980833333333333,98.95905555555557,Pedicularis-rhinanthoides,72.0,2018
24,DE393,30.297027777777778,99.671,Pedicularis-rhinanthoides,80.0,2018
25,DE405,30.227277777777775,100.24769444444445,Pedicularis-rhinanthoides,81.0,2018
26,DE425,29.141805555555557,100.15661111111112,Pedicularis-rhinanthoides,84.0,2018
27,DE434,28.74638888888889,100.26916666666666,Pedicularis-rhinanthoides,86.0,2018
28,DE465,27.80763888888889,99.76297222222222,Pedicularis-rhinanthoides,96.0,2018
29,DE494,28.290277777777778,101.15494444444445,Pedicularis-rhinanthoides,103.0,2019
30,DE512,29.88138888888889,102.02,Pedicularis-rhinanthoides,107.0,2019
31,DE522,30.14461111111111,101.85930555555555,Pedicularis-rhinanthoides,110.0,2019
32,DE526,30.19263888888889,101.8775,Pedicularis-rhinanthoides,112.0,2019
33,DE529,30.012888888888888,101.86272222222222,Pedicularis-rhinanthoides,113.0,2019
34,DE535,30.040277777777778,101.83777777777777,Pedicularis-rhinanthoides,114.0,2019
35,DE561,30.826777777777778,101.28227777777778,Pedicularis-rhinanthoides,38.0,2019
36,DE581,31.724999999999998,100.74444444444444,Pedicularis-rhinanthoides,120.0,2019
37,DE608,32.13869444444445,101.03999999999999,Pedicularis-rhinanthoides,124.0,2019
38,DE617,32.13869444444445,101.03999999999999,Pedicularis-rhinanthoides,126.0,2019
39,DE627,32.309999999999995,100.83694444444444,Pedicularis-rhinanthoides,128.0,2019
40,DE638,32.32527777777778,101.08063888888888,Pedicularis-rhinanthoides,130.0,2019
41,DE639,32.337500000000006,101.42083333333333,Pedicularis-rhinanthoides,131.0,2019
42,DE661,32.09055555555556,102.56333333333333,Pedicularis-rhinanthoides,134.0,2019
43,DE667,32.32241666666667,102.45541666666666,Pedicularis-rhinanthoides,135.0,2019
44,DE682,32.711111111111116,102.11736111111111,Pedicularis-rhinanthoides,137.0,2019
45,DE703,33.31375,101.28361111111111,Pedicularis-rhinanthoides,139.0,2019
46,DE706,33.54694444444444,101.53597222222223,Pedicularis-rhinanthoides,140.0,2019
47,DE743,34.113055555555555,102.77888888888889,Pedicularis-rhinanthoides,147.0,2019
0,27565,30.01527777777778,101.85944444444443,Pedicularis-rhinanthoides,450,1997
1,27839,31.726388888888888,100.73527777777778,Pedicularis-rhinanthoides,725,1997
2,28127,29.14,100.15722222222223,Pedicularis-rhinanthoides,1016,1998
4,28264,28.74638888888889,100.26916666666666,Pedicularis-rhinanthoides,1155,1998
3,28229,28.74638888888889,100.26916666666666,Pedicularis-rhinanthoides-subsp.-tibetica,1120,1998
