,cid,latitude,longitude,shortname,sid,year
0,DE32,28.650138888888886,99.83366666666666,Pedicularis-rhodotricha,9.0,2018
1,DE66,29.33486111111111,100.09941666666666,Pedicularis-rhodotricha,16.0,2018
2,DE398,30.227277777777775,100.24769444444445,Pedicularis-rhodotricha,81.0,2018
3,DE439,29.112222222222222,100.03277777777778,Pedicularis-rhodotricha,87.0,2018
4,DE452,28.99625,99.74491666666667,Pedicularis-rhodotricha,93.0,2018
5,DE534,30.040277777777778,101.83777777777777,Pedicularis-rhodotricha,114.0,2019
6,DE548,30.074555555555555,101.80416666666666,Pedicularis-rhodotricha,115.0,2019
0,27903,31.70611111111111,102.31388888888888,Pedicularis-rhodotricha,789,1997
1,28613,29.112222222222222,100.03277777777778,Pedicularis-rhodotricha,1504,1998
2,28872,29.072499999999998,99.63222222222221,Pedicularis-rhodotricha,1767,1998
3,28979,29.001944444444444,99.74277777777777,Pedicularis-rhodotricha,1874,1998
