,cid,latitude,longitude,shortname,sid,year
0,DE195,31.611361111111112,100.71736111111112,Pedicularis-semitorta,45.0,2018
1,DE200,31.6575,100.70130555555556,Pedicularis-semitorta,46.0,2018
2,DE603,32.13869444444445,101.03999999999999,Pedicularis-semitorta,124.0,2019
3,DE623,32.309999999999995,100.83694444444444,Pedicularis-semitorta,128.0,2019
4,DE630,32.32083333333334,101.06880555555556,Pedicularis-semitorta,129.0,2019
5,DE633,32.32527777777778,101.08063888888888,Pedicularis-semitorta,130.0,2019
6,DE653,31.695972222222224,100.705,Pedicularis-semitorta,133.0,2019
7,DE673,32.32241666666667,102.45541666666666,Pedicularis-semitorta,135.0,2019
8,DE680,32.711111111111116,102.11736111111111,Pedicularis-semitorta,137.0,2019
9,DE725,34.070750000000004,102.16861111111112,Pedicularis-semitorta,142.0,2019
10,DE744,34.113055555555555,102.77888888888889,Pedicularis-semitorta,147.0,2019
11,DE769,31.852777777777778,102.67269444444445,Pedicularis-semitorta,154.0,2019
12,DE777,31.863750000000003,102.71583333333334,Pedicularis-semitorta,155.0,2019
0,27773,31.66,100.71277777777777,Pedicularis-semitorta,659,1997
1,27822,31.66,100.71277777777777,Pedicularis-semitorta,708,1997
